"0","Imagine example","99.44","false"
"1","Health model body ready","288.32","false"
"2","Understand attention purpose","220.16","false"
"3","Finally bag production","129.39","false"
"4","Fund policy","144.89","false"
"5","Know win past suggest join","416.91","true"
"6","Teacher born probably while","226.68","false"
"7","Develop work door pass","272.70","false"
"8","Prepare each easy check choose","297.29","true"
"9","Deep those","476.70","true"
"10","Live box will","207.32","false"
"11","Move else pretty return","394.45","true"
"12","Quickly somebody practice give","226.99","true"
"13","Defense dream would able","334.52","false"
"14","Thus person strategy","423.91","false"
"15","Able sea reveal","113.03","false"
"16","Sit speak couple sound","89.24","true"
"17","Green PM occur relationship all","94.07","false"
"18","Know between student fall in","213.75","true"
"19","Us result tell","464.12","false"
"20","Clear here much save","256.15","false"
"21","Detail risk hundred shoulder energy","185.52","false"
"22","International natural","424.49","false"
"23","Appear agreement rate result","26.65","true"
"24","Career vote","269.20","true"
"25","Spring will gun audience","86.07","false"
"26","Ten five long never wide","333.76","false"
"27","Score later current","259.49","true"
"28","Anyone appear a buy","278.17","true"
"29","State scientist","174.00","false"
"30","President big","450.81","true"
"31","Special full avoid peace","73.83","false"
"32","Attorney hospital popular","243.24","false"
"33","Consumer radio send American finish","387.74","true"
"34","Charge real cultural couple describe","223.39","false"
"35","Participant together exactly","153.91","true"
"36","No traditional full realize","313.58","true"
"37","Race himself office","485.22","true"
"38","Police usually coach draw","343.70","true"
"39","Instead doctor","316.97","true"
"40","Mind way painting produce","184.09","true"
"41","Also feel","76.52","true"
"42","Nearly field investment week","393.08","false"
"43","Approach especially doctor smile","243.06","true"
"44","Appear why","320.93","false"
"45","Thus wind so","321.49","true"
"46","Raise down region majority","213.59","true"
"47","Environmental plan night","49.68","true"
"48","Remain very who student","211.78","false"
"49","Check box allow","383.09","false"
"50","Notice model more","122.12","true"
"51","Defense win hospital decision","347.63","true"
"52","Member field parent worry","10.96","false"
"53","Raise identify","154.05","true"
"54","Allow owner","37.94","false"
"55","Still along player","454.77","true"
"56","Number writer a decide","418.39","true"
"57","Movie key hospital","332.13","true"
"58","Parent role party","353.20","true"
"59","Provide large friend safe","272.15","true"
"60","Page cell","294.13","true"
"61","Position race trial newspaper father","184.74","false"
"62","Perform style drug fight","106.73","true"
"63","Its sea policy thought","265.05","false"
"64","Difficult event thought ever energy","353.50","true"
"65","Industry fire of stuff hear","230.66","true"
"66","This know mouth miss since","155.04","false"
"67","Society course chair bill all","496.76","false"
"68","Book analysis","440.83","false"
"69","Discover same idea include will","305.78","true"
"70","Form major","461.28","false"
"71","Eye boy his body be","336.08","true"
"72","And various none ago light","78.66","false"
"73","Law interview","201.46","true"
"74","Coach sound consider certainly","259.16","false"
"75","Probably young particular affect","307.98","false"
"76","Perform deep but appear","480.26","true"
"77","Activity several cost","458.28","true"
"78","Thank although born political","365.24","false"
"79","Investment computer responsibility","213.51","false"
"80","Table main simple","279.21","true"
"81","West size avoid similar fish","376.82","false"
"82","Story break never while","61.39","false"
"83","Sit real","375.73","true"
"84","Heart court grow spend","208.08","true"
"85","Score whatever south middle myself","267.15","true"
"86","Watch everyone feel tough white","196.24","false"
"87","These shoulder forget western popular","425.08","true"
"88","Value executive sport","473.65","false"
"89","However high yeah","447.77","true"
"90","Brother crime travel actually if","267.51","false"
"91","Before process role","338.90","false"
"92","Compare man","491.57","false"
"93","Inside ago both main","344.92","true"
"94","Long service scene factor","171.73","false"
"95","Clearly upon coach edge","204.87","false"
"96","Method common young describe","415.05","false"
"97","Provide ball business drive","344.13","false"
"98","Meet over its","76.63","true"
"99","Whether keep","100.16","false"
"100","Particular yeah action","469.35","false"
"101","Eight nature price","461.43","false"
"102","Hour site","58.03","true"
