"0","54","1217","2001-07-30 15:45:29"
"1","140","395","1997-07-11 05:58:25"
"2","92","920","2013-10-07 16:16:34"
"3","492","687","2012-11-28 11:43:18"
"4","349","843","2017-10-21 01:59:09"
"5","334","1309","2015-02-12 17:38:42"
"6","277","1875","2007-03-31 06:39:21"
"7","409","30","2004-09-19 00:59:36"
"8","123","393","2002-09-22 16:13:39"
"9","445","522","1999-01-05 03:31:38"
"10","482","169","1994-11-04 02:42:13"
"11","493","974","1997-09-09 12:21:56"
"12","258","1838","2005-08-30 18:18:39"
"13","308","1817","1971-09-18 20:23:08"
"14","264","1744","2003-02-04 07:34:18"
"15","221","993","2012-05-18 13:28:16"
"16","305","1242","2013-05-04 05:34:37"
"17","257","1667","1976-09-28 13:33:28"
"18","105","1739","2010-10-18 19:21:37"
"19","496","1321","2010-01-28 21:57:09"
"20","126","1602","1994-04-13 05:28:41"
"21","348","875","2020-09-25 03:16:28"
"22","10","879","2017-05-07 13:31:14"
"23","420","411","2007-12-24 00:23:39"
"24","299","300","1990-08-24 07:52:39"
"25","449","775","2013-07-22 16:01:21"
"26","118","1989","1999-05-08 07:35:55"
"27","136","846","1986-04-03 01:12:22"
"28","308","1599","1977-11-14 21:47:08"
"29","333","124","1975-12-29 22:27:35"
"30","431","1136","2006-04-26 18:58:14"
"31","169","1967","1990-02-05 13:19:27"
"32","21","1136","1986-11-14 12:05:36"
"33","267","1328","2000-12-13 18:47:06"
"34","170","289","1984-07-18 13:41:44"
"35","156","616","1985-04-24 04:51:31"
"36","319","1657","1974-11-17 16:51:53"
"37","54","285","2007-01-31 12:30:05"
"38","160","1790","2006-11-30 04:53:59"
"39","378","600","2010-12-16 04:48:41"
"40","495","1763","2003-09-05 01:05:59"
"41","172","975","1981-01-04 23:14:10"
"42","278","1523","2001-11-26 20:17:50"
"43","343","1872","1977-06-17 17:42:58"
"44","128","1804","2011-10-28 23:00:19"
"45","272","1497","2015-10-26 12:52:10"
"46","78","131","1983-05-10 14:21:58"
"47","190","166","1993-11-30 07:22:18"
"48","57","970","2018-03-05 02:39:01"
"49","456","1155","2013-01-18 16:19:59"
"50","215","568","1991-07-23 12:02:32"
"51","125","1319","1979-01-29 12:05:49"
"52","448","1671","1980-03-26 08:16:18"
"53","341","71","1981-11-11 00:08:05"
"54","64","1363","1996-02-29 18:13:19"
"55","123","1518","1994-04-10 23:05:33"
"56","339","1045","1980-09-20 19:27:52"
"57","188","1203","2000-04-14 02:00:23"
"58","408","1471","2012-10-05 14:35:46"
"59","446","1027","1973-11-14 00:17:34"
"60","231","290","2016-06-17 03:34:02"
"61","439","705","1986-06-25 03:40:20"
"62","391","981","1971-07-24 21:12:46"
"63","198","1178","1976-01-31 12:12:00"
"64","96","1503","1988-11-29 08:26:26"
"65","267","775","2021-01-24 22:37:48"
"66","309","1285","2010-05-16 22:47:34"
"67","1","1809","1999-09-21 02:35:33"
"68","129","456","1972-05-07 06:21:37"
"69","417","1976","2019-05-04 20:49:41"
"70","65","1787","2019-07-01 15:47:42"
"71","358","524","2007-09-08 07:32:41"
"72","496","214","1981-10-18 09:43:50"
"73","407","1067","1976-01-11 23:48:13"
"74","262","240","2002-12-06 17:58:06"
"75","307","1955","2008-11-28 08:31:34"
"76","2","1233","2010-02-14 06:17:30"
"77","114","1256","1973-07-28 18:52:30"
"78","439","917","1986-10-13 00:30:30"
"79","370","1972","2016-06-01 11:50:11"
"80","53","148","1996-11-19 07:11:41"
"81","142","1496","1971-11-05 04:51:54"
"82","3","1745","1983-03-01 13:48:19"
"83","134","290","1998-10-25 16:29:56"
"84","410","287","2018-03-11 14:25:40"
"85","120","415","1972-08-30 23:48:19"
"86","100","85","1998-03-31 09:48:19"
"87","343","826","1996-08-03 20:27:20"
"88","39","171","2007-04-08 05:14:00"
"89","257","287","1983-02-18 23:11:26"
"90","245","775","1997-03-19 18:23:09"
"91","204","459","2014-10-15 09:58:18"
"92","486","1084","1996-01-17 11:21:31"
"93","143","733","2014-01-05 15:25:43"
"94","301","1256","1999-01-21 02:44:22"
"95","11","456","2002-06-02 08:51:01"
"96","237","963","2006-06-07 00:44:28"
"97","327","1731","1987-11-13 13:36:23"
"98","444","705","2010-03-27 07:31:49"
"99","36","1027","1970-04-13 04:32:42"
"100","255","239","2007-11-30 13:51:09"
"101","496","1882","2008-09-26 08:08:44"
"102","250","1781","1973-01-03 02:28:26"
"103","269","53","1983-09-23 09:31:49"
"104","64","848","1979-10-24 08:15:16"
"105","179","1352","2004-12-13 00:49:07"
"106","122","1218","1970-04-25 02:33:00"
"107","289","27","2001-12-13 23:51:16"
"108","117","892","1976-07-22 23:28:33"
"109","285","1094","1985-03-05 20:25:09"
"110","483","1625","1998-03-11 09:51:45"
"111","165","1546","1990-05-21 18:48:13"
"112","489","708","1981-03-24 13:12:32"
"113","290","1284","1977-06-27 01:45:00"
"114","326","1933","1990-12-17 19:28:36"
"115","419","1332","2013-04-24 08:59:24"
"116","239","1788","1982-01-30 13:05:09"
"117","300","732","1976-12-24 05:52:58"
"118","194","924","1997-01-31 10:45:46"
"119","376","1579","1997-10-06 12:38:23"
"120","370","1723","2010-12-19 15:43:19"
"121","485","1559","2017-10-04 05:11:59"
"122","85","1558","2013-04-14 18:19:54"
"123","441","529","2000-04-21 08:54:14"
"124","178","482","1992-05-23 12:08:15"
"125","283","1866","2021-05-15 03:45:57"
"126","421","1284","1975-03-22 22:14:38"
"127","217","16","1979-09-28 08:02:26"
"128","52","1126","1995-07-14 09:45:08"
"129","316","280","1996-05-26 21:03:39"
"130","4","1042","1972-05-20 14:49:33"
"131","266","1917","1973-02-28 13:29:37"
"132","278","349","2008-04-14 19:09:50"
"133","116","923","2014-09-02 10:42:14"
"134","340","730","2018-10-26 11:30:49"
"135","156","213","1979-05-15 00:50:21"
"136","155","1962","2006-01-11 04:29:46"
"137","40","581","1977-10-01 14:13:43"
"138","298","806","2013-04-05 02:16:03"
"139","60","1972","1989-11-29 19:05:46"
"140","4","1084","2007-10-15 14:52:23"
"141","342","1379","1992-03-09 05:56:23"
"142","227","1432","2002-06-03 08:06:09"
"143","192","131","2017-08-27 21:55:01"
"144","85","1474","1991-06-21 15:00:31"
"145","109","1834","2005-04-21 18:39:13"
"146","209","16","1974-06-01 06:16:07"
"147","385","1645","2009-07-19 10:21:35"
"148","195","1598","2015-08-17 22:22:18"
"149","133","175","2002-06-01 16:06:41"
"150","114","1079","2018-04-23 07:41:45"
"151","421","1451","2008-01-01 21:49:39"
"152","327","1415","2001-10-02 21:32:52"
"153","73","291","2019-07-04 18:16:03"
"154","224","23","2010-08-20 20:58:23"
"155","324","392","2014-09-09 03:02:45"
"156","316","800","2009-04-03 14:32:02"
"157","94","1237","2012-02-06 13:35:19"
"158","392","1775","2018-03-12 23:19:21"
"159","492","466","2008-12-17 19:23:41"
"160","25","1830","2007-02-28 22:21:55"
"161","188","1625","2007-01-16 04:57:15"
"162","342","28","2015-03-18 02:39:05"
"163","416","1320","2015-07-05 01:20:25"
"164","475","140","1994-12-18 03:06:25"
"165","212","1602","2011-07-07 23:36:54"
"166","387","903","1986-04-23 02:54:28"
"167","154","1985","1972-03-24 13:17:02"
"168","363","861","1993-04-20 11:08:22"
"169","448","868","1992-02-27 07:43:34"
"170","10","903","1988-12-30 01:21:50"
"171","168","1999","1973-12-22 11:24:00"
"172","407","192","2001-11-22 14:57:05"
"173","497","71","2008-10-02 19:55:37"
"174","114","341","1986-12-15 21:16:48"
"175","306","83","2000-09-14 01:17:28"
"176","76","266","1993-12-01 16:54:38"
"177","366","1006","2018-04-01 09:54:32"
"178","74","721","2006-10-22 23:31:42"
"179","281","828","1977-11-06 14:42:04"
"180","324","1685","1991-09-04 15:29:06"
"181","236","1987","2004-11-09 14:32:38"
"182","129","53","2017-12-06 02:52:09"
"183","383","1149","2001-09-29 01:49:09"
"184","143","1431","2009-09-26 19:43:12"
"185","474","1538","1985-08-12 18:33:46"
"186","42","991","1972-10-11 19:01:12"
"187","29","1017","1977-06-21 03:52:54"
"188","430","488","2001-03-16 07:03:08"
"189","142","1714","2011-09-27 06:19:40"
"190","108","1560","1978-07-09 10:21:07"
"191","298","1562","1978-03-08 14:52:59"
"192","204","971","2002-07-24 11:48:38"
"193","15","444","1972-06-28 07:04:46"
"194","290","613","2002-05-31 10:19:47"
"195","316","940","1974-02-13 09:00:49"
"196","496","12","2000-04-13 21:28:06"
"197","159","305","2001-02-11 15:46:01"
"198","39","1100","2020-08-04 04:02:45"
"199","18","1329","1980-10-25 10:08:11"
"200","152","622","2017-06-13 21:31:20"
"201","328","454","1993-09-29 12:42:39"
"202","105","1117","2021-09-01 03:38:02"
"203","296","51","1989-09-26 16:45:11"
"204","18","1445","1997-12-16 20:00:45"
"205","486","1680","2012-04-23 15:49:29"
"206","112","823","2019-02-14 06:23:07"
"207","382","1116","2020-02-21 22:53:40"
"208","287","833","2003-09-26 01:21:14"
"209","480","346","1998-11-17 21:28:14"
"210","253","1095","2012-07-09 03:31:33"
"211","404","1673","2004-12-13 14:29:55"
"212","336","983","2019-05-23 01:37:00"
"213","479","1730","2004-06-26 13:15:23"
"214","298","175","2014-11-22 01:39:01"
